Sample_Name	NC_020645.1	NC_006853.1	NC_006295.1	NC_002008.4	KR866125.1	NC_008066.1	NC_001640.1	KX964606.1	NC_001700.1	NC_005033.1	NC_012920.1	KR816507.1	NC_069637.1	NC_025316.1	NC_018367.1	MN400429.1	NC_004069.1	NC_020637.1	NC_035866.1	NC_013700.1	NC_001913.1	NC_036369.1	NC_026063.1	NC_029403.1	NC_012389.1	NC_011638.1	NC_014861.1	NC_021478.1	NC_026124.1	NC_039104.1	NC_012095.1	NC_026529.1	NC_008434.1
SRR23971566	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971567	0	77	13	245	118	0	10	4	0	0	135	0	0	0	0	0	0	0	0	0	2	0	68	0	0	0	0	53	0	0	37	0	0
SRR23971568	0	12	0	7	2	0	0	0	0	0	28	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	16	0	0
SRR23971569	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971570	0	2	0	0	2	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0
SRR23971571	0	3	0	2	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	7	0	0
SRR23971572	0	88	0	0	2	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	412	0	0	1	0	0	0	0	46	0	0
SRR23971573	0	3507	8	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	2109	0	0	22	0	0	0	0	59	0	0
SRR23971574	0	677	18	0	0	0	0	0	13	0	1584	0	0	0	0	0	0	12	0	0	0	0	438	0	0	0	0	0	0	0	259	0	0
SRR23971575	0	11022	2	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	432	0	0
SRR23971576	0	17	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0
SRR23971577	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	12	0	0	0	0	2	0	0	0	0	0	0	0
SRR23971578	0	43	0	21	0	0	0	0	25	0	819	0	0	0	0	0	0	43	0	0	0	0	145	0	0	5	0	6	0	0	182	0	0
