Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM
RLC-2,Env_0870,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse ground,Negative,0,TRUE
RLC-3,Env_0868,SRR23971517,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse bag surfaces,Positive,0,TRUE
RLC-4,Env_0867,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse bag surfaces,Positive,0,TRUE
RLC-5,Env_0869,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse bag surfaces,Negative,0,TRUE
s-1,Env_0850,,2020-02-19,Warehouse,6,29,,Warehouse|6|29,Warehouse|6|29,Warehouse|6|29,Environmental swab,Storehouse ground,Negative,0,TRUE
s-2,Env_0851,,2020-02-19,Warehouse,6,29,,Warehouse|6|29,Warehouse|6|29,Warehouse|6|29,Environmental swab,Storehouse container,Negative,0,TRUE
SJ-BX-1,Env_0861,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Inner surface of refrigerator in storehouse,Negative,0,TRUE
SJ-BX-2,Env_0860,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Inner surface of refrigerator in storehouse,Negative,0,TRUE
SJ-CS,Env_0863,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse weight scale,Positive,0,TRUE
SJ-D,Env_0862,SRR23971515,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse ground,Positive,0,TRUE
SJ-L1,Env_0864,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse wire fence,Negative,0,TRUE
SJ-L2,Env_0866,,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse wire fence,Negative,0,TRUE
SJ-L3,Env_0865,SRR23971516,2020-02-22,Warehouse,8,25,,Warehouse|8|25,Warehouse|8|25,Warehouse|8|25,Environmental swab,Storehouse wire fence,Positive,0,TRUE
Vertical-5,Env_0764,,2020-02-09,West,5,,assume west line because 3 exists,West|5|NA,West|5|Sw1,West|5|NA,Water drain,Water drain,Negative,1,TRUE
Vertical-7,Env_0765,,2020-02-09,West,7,,assume west line because 3 exists,West|7|NA,West|7|Sw1,West|7|NA,Water drain,Water drain,Negative,1,TRUE
Vertical-9,Env_0766,,2020-02-09,West,9,,assume west line because 3 exists,West|9|NA,West|9|Sw1,West|9|NA,Water drain,Water drain,Negative,1,TRUE
W9-GD-1,Env_0872,,2020-02-23,West,9,,,West|9|NA,West|9|NA,West|9|NA,Environmental swab,Ventilation duct,Negative,0,TRUE
Vertical-3,Env_0763,,2020-02-09,West,3,,,West|3|NA,West|3|Sw1,West|3|NA,Water drain,Water drain,Negative,1,TRUE
wws-1#-0,Env_0830,SRR23971501,2020-02-15,West,1,,put with WWS1,West|1|NA,West|1|SwO,West|1|NA,Sewage,Sewage well,Positive,1,TRUE
06-29-abv1,Env_0620,SRR23971430,2020-01-23,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Environmental swab,Negative,1,TRUE
06-29-abv1_2,Env_0627,,2020-01-23,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Environmental swab,Negative,1,TRUE
06-32-abv1,Env_0622,,2020-01-23,West,6,32,,West|6|32,West|6|32,West|6|32,Environmental swab,Environmental swab,Negative,1,TRUE
08-25-abv1,Env_0621,,2020-01-23,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Environmental swab,Negative,1,TRUE
08-25-abv1_2,Env_0625,,2020-01-23,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Environmental swab,Negative,1,TRUE
08-25-abv1_3,Env_0639,,2020-01-25,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Surface of the door,Negative,1,TRUE
09-23-abv1,Env_0626,,2020-01-23,West,9,23,,West|9|23,West|9|23,West|9|23,Environmental swab,Environmental swab,Negative,1,TRUE
1-27-11,Env_0642,SRR23971431,2020-01-27,West,3,13,,West|3|13,West|3|13_drain,West|3|13,Water drain,Water drain,Negative,1,TRUE
1-27-12,Env_0643,SRR23971432,2020-01-27,West,1,2,,West|1|2,West|1|2_drain,West|1|2,Water drain,Water drain,Negative,1,TRUE
1-27-13,Env_0644,,2020-01-27,West,1,7-9,,West|1|7-9,West|1|7-9_drain,West|1|7-9,Water drain,Water drain,Negative,1,TRUE
1-27-14,Env_0645,,2020-01-27,West,2,1-3,,West|2|1-3,West|2|1-3_drain,West|2|1-3,Water drain,Water drain,Negative,1,TRUE
1-27-15,Env_0646,,2020-01-27,West,2,16-18,,West|2|16-18,West|2|16-18_drain,West|2|16-18,Water drain,Water drain,Negative,1,TRUE
1-27-16,Env_0647,,2020-01-27,West,4,22,,West|4|22,West|4|22_drain,West|4|22,Water drain,Water drain,Negative,1,TRUE
1-27-17,Env_0648,,2020-01-27,West,4,1,,West|4|1,West|4|1_drain,West|4|1,Water drain,Water drain,Negative,1,TRUE
1-27-18,Env_0649,,2020-01-27,West,5,4,,West|5|4,West|5|4_drain,West|5|4,Water drain,Water drain,Negative,1,TRUE
1-27-19,Env_0650,,2020-01-27,West,15,19-21,,West|15|19-21,West|15|19-21_drain,West|15|19-21,Water drain,Water drain,Negative,1,TRUE
1-27-21,Env_0652,,2020-01-27,West,6,9,,West|6|9,West|6|9_drain,West|6|9,Water drain,Water drain,Negative,1,TRUE
1-27-22,Env_0653,,2020-01-27,West,6,24,,West|6|24,West|6|24_drain,West|6|24,Water drain,Water drain,Negative,1,TRUE
1-27-24,Env_0654,,2020-01-27,West,7,15-17,,West|7|15-17,West|7|15-17_drain,West|7|15-17,Water drain,Water drain,Negative,1,TRUE
1-27-25,Env_0655,,2020-01-27,West,7,2-4,,West|7|2-4,West|7|2-4_drain,West|7|2-4,Water drain,Water drain,Negative,1,TRUE
1-27-26,Env_0656,,2020-01-27,West,8,32-36,,West|8|32-36,West|8|32-36_drain,West|8|32-36,Water drain,Water drain,Negative,1,TRUE
1-27-28,Env_0657,SRR23971433,2020-01-27,West,7,34,,West|7|34,West|7|34_drain,West|7|34,Water drain,Water drain,Negative,1,TRUE
1-27-30,Env_0658,,2020-01-27,West,8,6-8,,West|8|6-8,West|8|6-8_drain,West|8|6-8,Water drain,Water drain,Negative,1,TRUE
1-27-31,Env_0659,,2020-01-27,West,8,11-13,,West|8|11-13,West|8|11-13_drain,West|8|11-13,Water drain,Water drain,Negative,1,TRUE
1-27-33,Env_0660,SRR23971584,2020-01-27,West,6,29-33,,West|6|29-33,West|6|29-33_drain,West|6|29-31-33,Water drain,Water drain,Positive,1,TRUE
1-27-34,Env_0661,,2020-01-27,West,9,1-3,,West|9|1-3,West|9|1-3_drain,West|9|1-3,Water drain,Water drain,Negative,1,TRUE
1-27-35,Env_0662,,2020-01-27,West,9,34-36,,West|9|34-36,West|9|34-36_drain,West|9|34-36,Water drain,Water drain,Negative,1,TRUE
1-27-36,Env_0663,,2020-01-27,West,10,9,,West|10|9,West|10|9_drain,West|10|9,Water drain,Water drain,Negative,1,TRUE
1-27-37,Env_0664,SRR23971585,2020-01-27,West,10,4,,West|10|4,West|10|4_drain,West|10|4,Water drain,Water drain,Positive,1,TRUE
